"filename", "language", "Makefile", "C++", "comment", "blank", "total"
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\Makefile", "Makefile", 58, 0, 0, 10, 68
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\common\graphicscontext.h", "C++", 0, 9, 0, 2, 11
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\common\types.h", "C++", 0, 17, 0, 4, 21
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\drivers\amd_am79c973.h", "C++", 0, 77, 0, 20, 97
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\drivers\ata.h", "C++", 0, 34, 0, 12, 46
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\drivers\driver.h", "C++", 0, 25, 0, 5, 30
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\drivers\keyboard.h", "C++", 0, 29, 0, 6, 35
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\drivers\mouse.h", "C++", 0, 34, 0, 5, 39
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\drivers\vga.h", "C++", 0, 35, 0, 10, 45
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\gdt.h", "C++", 0, 35, 0, 11, 46
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\gui\desktop.h", "C++", 0, 21, 0, 5, 26
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\gui\widget.h", "C++", 0, 53, 0, 17, 70
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\gui\window.h", "C++", 0, 22, 0, 4, 26
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\hardwarecomu\interrupts.h", "C++", 0, 101, 0, 20, 121
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\hardwarecomu\pci.h", "C++", 0, 59, 1, 18, 78
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\hardwarecomu\port.h", "C++", 0, 41, 0, 6, 47
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\memorymanagement.h", "C++", 0, 31, 1, 11, 43
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\multitasking.h", "C++", 0, 46, 6, 8, 60
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\net\arp.h", "C++", 0, 37, 0, 10, 47
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\net\etherframe.h", "C++", 0, 45, 0, 12, 57
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\net\icmp.h", "C++", 0, 27, 0, 8, 35
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\net\ipv4.h", "C++", 0, 55, 0, 14, 69
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\net\tcp.h", "C++", 0, 104, 1, 26, 131
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\net\udp.h", "C++", 0, 63, 0, 13, 76
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\include\syscalls.h", "C++", 0, 16, 0, 4, 20
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\drivers\amd_am79c973.cpp", "C++", 0, 207, 5, 40, 252
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\drivers\ata.cpp", "C++", 0, 158, 0, 27, 185
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\drivers\driver.cpp", "C++", 0, 27, 0, 10, 37
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\drivers\keyboard.cpp", "C++", 0, 312, 0, 15, 327
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\drivers\mouse.cpp", "C++", 0, 63, 0, 22, 85
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\drivers\vga.cpp", "C++", 0, 123, 10, 20, 153
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\gdt.cpp", "C++", 0, 73, 4, 18, 95
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\gui\desktop.cpp", "C++", 0, 39, 2, 12, 53
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\gui\widget.cpp", "C++", 0, 127, 0, 23, 150
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\gui\window.cpp", "C++", 0, 30, 0, 3, 33
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\hardwarecomu\interrupts.cpp", "C++", 0, 151, 0, 36, 187
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\hardwarecomu\pci.cpp", "C++", 0, 163, 0, 60, 223
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\hardwarecomu\port.cpp", "C++", 0, 51, 0, 16, 67
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\kernel.cpp", "C++", 0, 249, 26, 60, 335
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\memorymanagement.cpp", "C++", 0, 121, 0, 29, 150
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\multitasking.cpp", "C++", 0, 53, 9, 14, 76
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\net\arp.cpp", "C++", 0, 106, 0, 17, 123
"d:\STUDY\MyOS\FileFromVM\MILESTONE_FINAL\MyOS\src\net\etherframe.cpp", "C++", 0, 88, 0, 20, 108
